,url,name,address,provider,MW_total_power,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,number,street,municipality,state,latitude,longitude
1649,https://datacenters.com/enzu-ord1-chicago,Enzu: ORD1 Chicago Data Center,"350 East Cermak Road, Chicago, IL, USA",Enzu,,16.78,,,350,East Cermak Road,Chicago,IL,41.85375365,-87.6183797609595
1650,https://datacenters.com/cloudhq-lc-campus-united-states-northern-va,CloudHQ: LC Campus United States - Northern VA,"21955 Loudoun County Pkwy, Ashburn, Virginia 20147, USA",CloudHQ,,4.03,,,21955,Loudoun County Pkwy,Ashburn,Virginia,39.00003385,-77.47805277414508
1651,https://datacenters.com/everstream-east-lansing,Everstream: East Lansing Data Center,"1515 Turf Ln, East Lansing, MI 48823, USA",Everstream,,4.45,,,1515,Turf Ln,East Lansing,MI,42.7700815,-84.5042656
1652,https://datacenters.com/china-telecom-la2,China Telecom: LA2 Data Center,"818 West 7th Street, Los Angeles, CA 90017, USA",China Telecom,,11.07,,,818,West 7th Street,Los Angeles,CA,33.73795510204082,-118.29503263265306
1653,https://datacenters.com/ntt-global-ca2-sacramento,NTT Global Data Centers: CA2 Sacramento Data Center,"1312 Striker Avenue, Sacramento, CA, USA",NTT Global Data Centers,26.1,6.05,87855.0,87855.0,1312,Striker Avenue,Sacramento,CA,38.65039905,-121.49194665427194
1655,https://datacenters.com/cyrusone-nva8-northern-virginia,CyrusOne: NVA8 Northern Virginia Data Center,"45905 Maries Road, Sterling, VA 20166, USA",CyrusOne,24.0,5.6,95467.0,154230.0,45905,Maries Road,Sterling,VA,39.021176100000005,-77.41321175656343
1657,https://datacenters.com/enzu-sfo1-san-francisco,Enzu: SFO1 San Francisco Data Center,"200 Paul Avenue, San Francisco, CA, USA",Enzu,,6.84,,,200,Paul Avenue,San Francisco,CA,37.72345945,-122.3979578117962
1660,https://datacenters.com/evoswitch-nyc-01-new-jersey,EvoSwitch: NYC-01 New Jersey Data Center,"3003 Woodbridge Avenue, Edison, NJ, USA",EvoSwitch,48.0,14.3,,830000.0,3003,Woodbridge Avenue,Edison,NJ,40.52082485,-74.34741660299264
1662,https://datacenters.com/mod-mission-critical-la2-evocative-pop,MOD Mission Critical: LA2 - Evocative Data Center PoP,"600 West 7th Street, Los Angeles, CA, USA",MOD Mission Critical,27.0,10.57,30000.0,490000.0,600,West 7th Street,Los Angeles,CA,34.0473499,-118.256999
1664,https://datacenters.com/netdepot-netdepot-san-francisco,NETdepot: NETdepot - San Francisco,"760 Mission Ct, Fremont, CA 94539, USA",NETdepot,,,,,760,Mission Ct,Fremont,CA,37.48998375,-121.93101147935295
1665,https://datacenters.com/inap-miami,INAP: Miami Data Center,"50 Northeast 9th Street, Miami, FL, USA",INAP,,5.6,,,50,Northeast 9th Street,Miami,FL,25.7825762,-80.1927703
1666,https://datacenters.com/netdepot-netdepot-newark-nj,"NETdepot: NETdepot - Newark, NJ","165 Halsey Street, Newark, NJ 07102, USA",NETdepot,,,,,165,Halsey Street,Newark,NJ,40.7367988,-74.17341306666667
1667,https://datacenters.com/365-ma2-marlboro,365 Data Centers: MA2 Marlboro Data Center,"250 Locke Drive, Marlborough, MA, USA",365 Data Centers,,8.3,,,250,Locke Drive,Marlborough,MA,42.3524553,-71.58604818655945
1668,https://datacenters.com/365-p1-phoenix,365 Data Centers: P1 Phoenix Data Center,"1850 West Deer Valley Road, Phoenix, AZ, USA",365 Data Centers,,0.8,,,1850,West Deer Valley Road,Phoenix,AZ,33.6845177,-112.09833977156488
1669,https://datacenters.com/enzu-iad1-ashburn,Enzu: IAD1 Ashburn Data Center,"43791 Devin Shafron Drive, Ashburn, VA, USA",Enzu,,3.73,,,43791,Devin Shafron Drive,Ashburn,VA,39.00333635,-77.48709345475464
