,url,name,address,provider,MW_total_power,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,number,street,municipality,state,latitude,longitude
1,https://datacenters.com/equinix-dc2-ashburn,Equinix: DC2 Ashburn Data Center,"21715 Filigree Court, Ashburn, VA, USA",Equinix,4.9,4.35,118447.0,147600.0,21715,Filigree Court,Ashburn,VA,39.0163313,-77.45876232933266
2,https://datacenters.com/google-mayes-county-ok,"Google: Mayes County, OK Data Center",4111 North East 1st Street,Google,,34.8,,1400000.0,4111,North East 1st Street,,,34.16316830266114,-97.42482656719649
3,https://datacenters.com/equinix-ny4-secaucus,Equinix: NY4 Secaucus Data Center,"755 Secaucus Road, Secaucus, NJ, USA",Equinix,18.5,7.46,151772.0,338967.0,755,Secaucus Road,Secaucus,NJ,40.77642805000001,-74.06977591147162
4,https://datacenters.com/microsoft-azure-des-moines,Microsoft Azure: Des Moines Data Center,"550 White Crane Rd, West Des Moines, IA 50265, USA",Microsoft Azure,,2.49,,408000.0,550,White Crane Rd,West Des Moines,IA,41.51497801102546,-93.71009936181576
6,https://datacenters.com/microsoft-azure-east-us-2-virginia,Microsoft Azure: East US 2 - Virginia,"Boydton, VA, USA",Microsoft Azure,,174.61,,,,Boydton,VA,,36.6673066,-78.3882002
7,https://datacenters.com/qts-richmond,QTS Data Centers: Richmond Data Center,"6000 Technology Boulevard, Sandston, VA, USA",QTS Data Centers,105.0,4.29,600000.0,1300000.0,6000,Technology Boulevard,Sandston,VA,37.4888273,-77.24748997136237
9,https://datacenters.com/google-midlothian-tx,"Google: Midlothian, TX Data Center","3800 Railport Pkwy, Midlothian, TX, USA",Google,,31.07,,800000.0,3800,Railport Pkwy,Midlothian,TX,32.44324265,-97.04880499999999
10,https://datacenters.com/microsoft-azure-south-central-us-texas,Microsoft Azure: South Central US-Texas,"5150 Rogers Rd, San Antonio, TX, USA",Microsoft Azure,,13.68,,470000.0,5150,Rogers Rd,San Antonio,TX,29.4798727,-98.69275447677299
11,https://datacenters.com/equinix-mi1-miami,Equinix: MI1 Miami Data Center,"50 Northeast 9th Street, Miami, FL, USA",Equinix,17.45,5.6,255512.0,658528.0,50,Northeast 9th Street,Miami,FL,25.7825762,-80.1927703
12,https://datacenters.com/microsoft-azure-north-central-us-illinois,Microsoft Azure: North Central US-Illinois,"601 Northwest Avenue, Northlake, IL, USA",Microsoft Azure,,15.5,,700000.0,601,Northwest Avenue,Northlake,IL,41.92310615,-87.91826328939885
13,https://datacenters.com/apple-inc-maiden,Apple Inc.: Maiden Data Center,"5977 Startown Road, Newton, NC, USA",Apple Inc.,,30.45,184000.0,500000.0,5977,Startown Road,Newton,NC,35.64298676620549,-81.2692989907583
16,https://datacenters.com/google-montgomery-county-tn,"Google: Montgomery County, TN Data Center","1000 Boolean Dr, Clarksville, TN 37040, USA",Google,,260.98,,,1000,Boolean Dr,Clarksville,TN,36.6199067,-87.26407905385179
17,https://datacenters.com/google-the-dalles-or,"Google: The Dalles, OR Data Center","4200 Columbia Rd, The Dalles, OR 97058, USA",Google,,136.09,800000.0,1300000.0,4200,Columbia Rd,The Dalles,OR,45.632333801763764,-121.20507597573058
18,https://datacenters.com/switch-switch-keep,Switch Data Centers: Switch Data Centers: Keep Data Center,"1 Switch Way, Lithia Springs, GA, USA",Switch Data Centers: Switch Data Centers,110.0,11.81,,1000000.0,1,Switch Way,Lithia Springs,GA,33.75502515,-84.58726849549521
20,https://datacenters.com/oracle-us-east-us-ashburn-1,Oracle: US East us-ashburn-1,"Ashburn, VA, USA",Oracle,,6.84,,,,Ashburn,VA,,39.029784,-77.4744147959966
21,https://datacenters.com/equinix-ny5-secaucus,Equinix: NY5 Secaucus Data Center,"800 Secaucus Road, Secaucus, NJ, USA",Equinix,10.0,7.46,108005.0,275322.0,800,Secaucus Road,Secaucus,NJ,40.77862955,-74.07229969299424
22,https://datacenters.com/equinix-ch3-elk-grove,Equinix: CH3 Elk Grove Data Center,"1905 Lunt Avenue, Elk Grove Village, IL, USA",Equinix,10.8,2.49,133987.0,379662.0,1905,Lunt Avenue,Elk Grove Village,IL,42.00107525,-87.95526507465392
23,https://datacenters.com/qts-phoenix,QTS Data Centers: Phoenix Data Center,"1200 North 40th Street, Phoenix, Arizona 85008, USA",QTS Data Centers,,1.25,108000.0,108000.0,1200,North 40th Street,Phoenix,Arizona,33.4623278989899,-111.9951634949495
26,https://datacenters.com/amazon-aws-iad23-ashburn,Amazon AWS: IAD23 Ashburn,"43830 Devin Shafron Dr, Ashburn, VA 20147, USA",Amazon AWS,,4.35,,,43830,Devin Shafron Dr,Ashburn,VA,39.00433355,-77.48434988769773
27,https://datacenters.com/apple-inc-mesa,Apple Inc.: Mesa Data Center,"3740 South Signal Butte Road, Mesa, AZ, USA",Apple Inc.,,23.0,,1300000.0,3740,South Signal Butte Road,Mesa,AZ,33.346856450000004,-111.60398881408415
28,https://datacenters.com/facebook-los-lunas,"Meta, Inc.: Los Lunas Data Center","4250 Messenger Loop, Los Lunas, NM, USA","Meta, Inc.",,17.4,,400000.0,4250,Messenger Loop,Los Lunas,NM,34.830164499999995,-106.78382668671136
29,https://datacenters.com/google-papillion-ne,"Google: Papillion, NE Data Center","14706 Schram Road, Papillion, NE 68138, USA",Google,,16.78,,,14706,Schram Road,Papillion,NE,41.13257763265306,-96.1444596122449
30,https://datacenters.com/equinix-ny2-secaucus,Equinix: NY2 Secaucus Data Center,"275 Hartz Way, Secaucus, NJ, USA",Equinix,6.8,7.46,131037.0,183900.0,275,Hartz Way,Secaucus,NJ,40.777582249999995,-74.07594031554937
35,https://datacenters.com/apple-inc-prineville,Apple Inc.: Prineville Data Center,"1600 SW Baldwin Rd, Prineville, OR 97754, USA",Apple Inc.,,229.29,,3200000.0,1600,SW Baldwin Rd,Prineville,OR,44.277024313049786,-120.87703841891403
36,https://datacenters.com/google-new-albany-oh,"Google: New Albany, OH Data Center","1101 Beech Rd SW, New Albany, OH, USA",Google,,7.46,,275000.0,1101,Beech Rd SW,New Albany,OH,40.070051,-82.754042
37,https://datacenters.com/google-lenoir-nc,"Google: Lenoir, NC Data Center",708 Lynhaven Drive,Google,,101.9,,337000.0,708,Lynhaven Drive,,,35.23764143509064,-81.20556084895078
38,https://datacenters.com/cyrusone-nym1-somerset,CyrusOne: NYM1 Somerset Data Center,"800 Cottontail Lane, Somerset, NJ, USA",CyrusOne,40.0,21.75,185000.0,430000.0,800,Cottontail Lane,Somerset,NJ,40.53901490871647,-74.54806380531525
39,https://datacenters.com/oracle-us-west-us-phoenix-1,Oracle: US West us-phoenix-1,"Phoenix, AZ, USA",Oracle,,4.35,,,,Phoenix,AZ,,33.4484367,-112.074141
40,https://datacenters.com/qts-atlanta-1-dc1,QTS Data Centers: Atlanta 1 DC1 Data Center,"1033 Jefferson Street Northwest, Atlanta, GA, USA",QTS Data Centers,70.0,9.33,531000.0,990000.0,1033,Jefferson Street Northwest,Atlanta,GA,33.77834525,-84.42109086212253
42,https://datacenters.com/qts-chicago,QTS Data Centers: Chicago Data Center,"2800 South Ashland Avenue, Chicago, Illinois 60608, USA",QTS Data Centers,40.0,14.92,208000.0,467000.0,2800,South Ashland Avenue,Chicago,Illinois,41.842207599999995,-87.66896957496199
43,https://datacenters.com/apple-inc-reno,Apple Inc.: Reno Data Center,"21505 Technology Way, Reno, NV 89521, USA",Apple Inc.,,3.11,,1100000.0,21505,Technology Way,Reno,NV,39.4548195014176,-119.75492894772928
45,https://datacenters.com/amazon-aws-new-albany-innovation-campus-way,Amazon AWS: New Albany Innovation Campus Way,"Innovation Campus Way, New Albany, OH 43031, USA",Amazon AWS,,9.95,,,,Innovation Campus Way,New Albany,OH,40.088439825289235,-82.73012218446259
46,https://datacenters.com/microsoft-azure-west-us-3-arizona,Microsoft Azure: West US 3-Arizona,"12901 West Olive Avenue, El Mirage, AZ 85335, USA",Microsoft Azure,,21.13,,244666.0,12901,West Olive Avenue,El Mirage,AZ,33.565487088235294,-112.3375524117647
48,https://datacenters.com/iron-mountain-azp-1-phoenix,Iron Mountain Data Centers: AZP - 1 - Phoenix Data Center,"615 North 48th Street, Phoenix, AZ, USA",Iron Mountain Data Centers,41.0,1.25,,588669.0,615,North 48th Street,Phoenix,AZ,33.4547001,-111.97624000293213
49,https://datacenters.com/databank-dfw3-plano,DataBank: DFW3 - Plano Data Center,"8375 Dominion Pkwy, Plano, TX, USA",DataBank,13.5,18.02,72600.0,144000.0,8375,Dominion Pkwy,Plano,TX,33.085227685975575,-96.81243463687383
51,https://datacenters.com/amazon-aws-5113-hayden-run,Amazon AWS: 5113 Hayden Run,"5113 Hayden Run Rd, Hilliard, OH 43026, USA",Amazon AWS,,13.68,,154000.0,5113,Hayden Run Rd,Hilliard,OH,40.06182978685651,-83.13857184313851
55,https://datacenters.com/telefonica-global-solutions-miami-keycenter,Telefonica Global Solutions: Miami KeyCenter,11300 Northwest 25th Street,Telefonica Global Solutions,12.0,5.0,44000.0,173500.0,11300,Northwest 25th Street,,,25.79617075,-80.37981073067186
56,https://datacenters.com/amazon-aws-pdx80-hermiston-or,Amazon AWS: PDX80 Hermiston OR,"Hermiston, OR 97838, USA",Amazon AWS,,180.2,,217900.0,,Hermiston,OR 97838,,45.8404101,-119.28946
57,https://datacenters.com/amazon-aws-dublin-oh,Amazon AWS: Dublin OH,"5895 Houchard Road, Dublin, OH, USA",Amazon AWS,35.0,17.4,,310000.0,5895,Houchard Road,Dublin,OH,40.090437313529456,-83.20011722976207
58,https://datacenters.com/equinix-sv1-san-jose,Equinix: SV1 San Jose Data Center,"11 Great Oaks Boulevard, San Jose, CA, USA",Equinix,4.0,41.64,82851.0,133500.0,11,Great Oaks Boulevard,San Jose,CA,37.24160355,-121.78331850529646
60,https://datacenters.com/qts-piscataway,QTS Data Centers: Piscataway Data Center,"101 Possumtown Road, Piscataway Township, New Jersey 08854, USA",QTS Data Centers,52.0,18.02,176000.0,360000.0,101,Possumtown Road,Piscataway Township,New Jersey,40.5574623,-74.48445497022735
61,https://datacenters.com/phoenixnap-phoenix,PhoenixNAP: Phoenix Data Center,"3402 East University Drive, Phoenix, AZ, USA",PhoenixNAP,,1.25,90000.0,,3402,East University Drive,Phoenix,AZ,33.41607765,-112.00935996881752
62,https://datacenters.com/equinix-dc6-ashburn,Equinix: DC6 Ashburn Data Center,"21721 Filigree Court, Ashburn, VA, USA",Equinix,7.5,4.35,59370.0,148659.0,21721,Filigree Court,Ashburn,VA,39.0149639,-77.45878957525659
63,https://datacenters.com/equinix-dc3-ashburn,Equinix: DC3 Ashburn Data Center,"44470 Chilum Place, Ashburn, VA, USA",Equinix,5.5,4.98,67041.0,95444.0,44470,Chilum Place,Ashburn,VA,39.0220753,-77.46078439252335
64,https://datacenters.com/facebook-sarpy-nebraska,"Meta, Inc.: Sarpy Nebraska Data Center","S 144th St, Springfield, NE, USA","Meta, Inc.",,19.27,,26000000.0,,S 144th St,Springfield,NE,41.11071791738093,-96.13865612384615
65,https://datacenters.com/equinix-ch1-chicago,Equinix: CH1 Chicago Data Center,"350 East Cermak Road, Chicago, IL, USA",Equinix,6.0,16.78,50992.0,143630.0,350,East Cermak Road,Chicago,IL,41.85375365,-87.6183797609595
67,https://datacenters.com/centersquare-phoenix-phx1-mesa,Centersquare: Phoenix ( PHX1 - Mesa) Data Center,"1301 West University Drive, Mesa, AZ, USA",Centersquare,14.0,8.08,73500.0,154158.0,1301,West University Drive,Mesa,AZ,33.4212556,-111.85900104986746
68,https://datacenters.com/centersquare-chicago-ch1-lisle,Centersquare: Chicago (CH1-Lisle) Data Center,"4513 Western Ave, Lisle, Illinois, USA",Centersquare,15.0,15.54,99650.0,190057.0,4513,Western Ave,Lisle,Illinois,41.8023406,-88.09488559911235
69,https://datacenters.com/equinix-sv5-san-jose,Equinix: SV5 San Jose Data Center,"9 Great Oaks Boulevard, San Jose, CA, USA",Equinix,15.0,41.64,93498.0,175311.0,9,Great Oaks Boulevard,San Jose,CA,37.24189425,-121.78159761972707
70,https://datacenters.com/google-council-bluffs-ia,"Google: Council Bluffs, IA Data Center","1430 Veterans Memorial Hwy, Council Bluffs, IA 51501, USA",Google,,5.6,,2890000.0,1430,Veterans Memorial Hwy,Council Bluffs,IA,41.219787310543765,-95.86669189476514
71,https://datacenters.com/cyrusone-cin5-cincinnati-north-cincinnati,CyrusOne: CIN5 Cincinnati North Cincinnati Data Center,"401 Kingsview Drive, Lebanon, OH, USA",CyrusOne,14.0,262.84,95000.0,400000.0,401,Kingsview Drive,Lebanon,OH,39.39004085714286,-84.21535134693877
72,https://datacenters.com/digital-realty-dallas-dfw11,Digital Realty: Dallas DFW11 Data Center,"4025 Midway Road, Carrollton, TX, USA",Digital Realty,10.0,13.7,100000.0,100590.0,4025,Midway Road,Carrollton,TX,33.0213677755102,-96.843649
74,https://datacenters.com/cyrusone-dfw1-dallas-carrollton,CyrusOne: DFW1 Dallas Carrollton Data Center,"1649 West Frankford Road, Carrollton, TX, USA",CyrusOne,90.0,8.7,400000.0,670000.0,1649,West Frankford Road,Carrollton,TX,32.9930675,-96.9320286
75,https://datacenters.com/equinix-ny9-new-york,Equinix: NY9 New York Data Center,"111 8th Avenue, New York, NY, USA",Equinix,1.7,6.84,35894.0,55721.0,111,8th Avenue,New York,NY,40.7408812,-74.0020865
76,https://datacenters.com/equinix-dc4-ashburn,Equinix: DC4 Ashburn Data Center,"21691 Filigree Court, Ashburn, VA, USA",Equinix,6.8,4.35,60587.0,99969.0,21691,Filigree Court,Ashburn,VA,39.01631515,-77.46190270161111
77,https://datacenters.com/prime-prime-los-angeles-4701-s-santa-fe,Prime Data Centers: Prime Los Angeles - 4701 S. Santa Fe,"4701 South Santa Fe Avenue, Vernon, CA, USA",Prime Data Centers,33.0,10.57,110310.0,242495.0,4701,South Santa Fe Avenue,Vernon,CA,34.001433522333365,-118.23030915642762
78,https://datacenters.com/equinix-sv10-san-jose,Equinix: SV10 San Jose Data Center,"7 Great Oaks Boulevard, San Jose, CA, USA",Equinix,14.4,41.64,37231.0,175930.0,7,Great Oaks Boulevard,San Jose,CA,37.241188949999994,-121.7847548396787
79,https://datacenters.com/equinix-la4-el-segundo,Equinix: LA4 El Segundo Data Center,"445 North Douglas Street, El Segundo, CA, USA",Equinix,0.5,1.87,62159.0,177469.0,445,North Douglas Street,El Segundo,CA,33.921997876884426,-118.383118
80,https://datacenters.com/amazon-aws-2305-mission-college-blvd,Amazon AWS: 2305 Mission College Blvd,"2305 Mission College Blvd, Santa Clara, CA 95054, USA",Amazon AWS,,2.49,,35800.0,2305,Mission College Blvd,Santa Clara,CA,37.38872309507468,-121.9668334293932
82,https://datacenters.com/centersquare-dallas-da1-allen,Centersquare: Dallas (DA1-Allen) Data Center,"900 Guardians Way, Allen, TX, USA",Centersquare,12.0,24.24,77124.0,112292.0,900,Guardians Way,Allen,TX,33.0951879,-96.68356465653412
83,https://datacenters.com/equinix-ny11-carteret,Equinix: NY11 Carteret Data Center,"1400 Federal Boulevard, Carteret, NJ, USA",Equinix,,8.08,91413.0,113944.0,1400,Federal Boulevard,Carteret,NJ,40.58451035,-74.24333784314689
88,https://datacenters.com/microsoft-azure-west-us-california,Microsoft Azure: West US-California,"Fresno, CA, USA",Microsoft Azure,,4.35,,,,Fresno,CA,,36.7394421,-119.78483
89,https://datacenters.com/amazon-aws-pdx2-umatilla,Amazon AWS: PDX2 Umatilla,"2400 Beach Access Road, Umatilla, OR 97882, USA",Amazon AWS,,178.96,,,2400,Beach Access Road,Umatilla,OR,45.9288760244058,-119.26944264255893
91,https://datacenters.com/dsm-lakeland,DSM: Lakeland Data Center,"6810 New Tampa Hwy, Lakeland, FL, USA",DSM,,55.93,25000.0,25000.0,6810,New Tampa Hwy,Lakeland,FL,28.030004459183672,-82.04538540816327
92,https://datacenters.com/telehouse-new-york-teleport,Telehouse: New York Teleport Data Center,"7 Teleport Drive, Staten Island, NY, USA",Telehouse,10.0,6.22,80000.0,162000.0,7,Teleport Drive,Staten Island,NY,40.60454853443792,-74.17789856456419
93,https://datacenters.com/amazon-aws-hilliard-5109-hayden-run,Amazon AWS: Hilliard 5109 Hayden Run,"5109 Hayden Run Rd, Hilliard, OH 43026, USA",Amazon AWS,,13.68,,,5109,Hayden Run Rd,Hilliard,OH,40.061855524571,-83.13842356209233
94,https://datacenters.com/amazon-aws-iad12-sterling,Amazon AWS: IAD12 Sterling,"22630 Dulles Summit Court, Sterling, VA, USA",Amazon AWS,,2.49,,150000.0,22630,Dulles Summit Court,Sterling,VA,38.98872415,-77.4476618513777
95,https://datacenters.com/amazon-aws-7400-potranco-rd,Amazon AWS: 7400 Potranco Rd,"7400 Potranco Rd, San Antonio, TX 78251, USA",Amazon AWS,12.0,11.19,,109600.0,7400,Potranco Rd,San Antonio,TX,29.4532,-98.6371074
96,https://datacenters.com/equinix-da1-dallas,Equinix: DA1 Dallas Data Center,"1950 North Stemmons Freeway, Dallas, TX, USA",Equinix,3.0,7.46,30355.0,61573.0,1950,North Stemmons Freeway,Dallas,TX,32.800965950000005,-96.81952300449768
97,https://datacenters.com/centersquare-ord2-chicago-elk-grove-village-campus,Centersquare: ORD2 (Chicago) Elk Grove Village Data Center Campus,"2425 Busse Road, Elk Grove Village, IL, USA",Centersquare,11.6,2.49,148000.0,163747.0,2425,Busse Road,Elk Grove Village,IL,41.99231745,-87.95823232669878
98,https://datacenters.com/vantage-az1-phoenix,Vantage Data Centers: AZ1 Phoenix Data Center,"45 South Bullard Avenue, Goodyear, AZ, USA",Vantage Data Centers,32.0,21.13,800000.0,800000.0,45,South Bullard Avenue,Goodyear,AZ,33.446455650000004,-112.373884470172
99,https://datacenters.com/equinix-at1-atlanta-ibx,Equinix: AT1 Atlanta IBX Data Center,"180 Peachtree Street Northwest, Atlanta, GA, USA",Equinix,4.5,8.7,43012.0,79200.0,180,Peachtree Street Northwest,Atlanta,GA,33.758551,-84.387703
100,https://datacenters.com/centersquare-secaucus-nyc3,Centersquare: Secaucus (NYC3) Data Center,"15 Enterprise Avenue North, Secaucus, NJ, USA",Centersquare,12.0,8.7,98600.0,154691.0,15,Enterprise Avenue North,Secaucus,NJ,40.78765239836318,-74.0670876535633
102,https://datacenters.com/expedient-indianapolis-carmel,Expedient: Indianapolis Carmel Data Center,"701 Congressional Blvd, Carmel, IN, USA",Expedient,4.4,18.65,26000.0,53000.0,701,Congressional Blvd,Carmel,IN,39.96118928333333,-86.14763138333333
103,https://datacenters.com/facebook-fort-worth,"Meta, Inc.: Fort Worth Data Center","4500 Like Way, Fort Worth, Texas 76177, USA","Meta, Inc.",,14.3,,22000000.0,4500,Like Way,Fort Worth,Texas,32.983782899999994,-97.26111316489428
104,https://datacenters.com/equinix-da11-dallas-ibx,Equinix: DA11 Dallas IBX Data Center,"1990 North Stemmons Freeway, Dallas, TX 75207, U.S.",Equinix,,13.68,,144560.0,1990,North Stemmons Freeway,Dallas,TX,32.801719620740656,-96.82431674165359
105,https://datacenters.com/qts-east-windsor-nj,"QTS Data Centers: East Windsor, NJ Data Center","159 Princeton Hightstown Road, East Windsor, New Jersey 08520, USA",QTS Data Centers,12.0,34.18,58157.0,553930.0,159,Princeton Hightstown Road,East Windsor,New Jersey,40.277733714868525,-74.54780027480199
106,https://datacenters.com/dsm-phoenix,DSM: Phoenix Data Center,"Phoenix, Arizona, USA",DSM,,4.35,,,,Phoenix,Arizona,,33.4484367,-112.074141
107,https://datacenters.com/cyrusone-nym5-norwalk,CyrusOne: NYM5 Norwalk Data Center,"6 Norden Place, Norwalk, CT, USA",CyrusOne,16.0,37.91,75000.0,168000.0,6,Norden Place,Norwalk,CT,41.110988645461,-73.39827035947773
108,https://datacenters.com/centersquare-dallas-da2-webb-chapel,Centersquare: Dallas (DA2-Webb Chapel) Data Center,"11830 Webb Chapel Rd, Dallas, TX, USA",Centersquare,10.0,9.33,92320.0,140453.0,11830,Webb Chapel Rd,Dallas,TX,32.911956,-96.87065706681486
109,https://datacenters.com/equinix-dc11-ashburn,Equinix: DC11 Ashburn Data Center,"21721 Filigree Court, Ashburn, VA, USA",Equinix,4.9,4.35,116835.0,229435.0,21721,Filigree Court,Ashburn,VA,39.0149639,-77.45878957525659
110,https://datacenters.com/qts-irving-dallas-dc1-dc2,QTS Data Centers: Irving - Dallas DC1 & DC2 Data Center,"6431 Longhorn Dr, Irving, TX, USA",QTS Data Centers,75.2,3.11,320932.0,700000.0,6431,Longhorn Dr,Irving,TX,32.897271200000006,-96.9830171521263
111,https://datacenters.com/amazon-aws-iad55-haymarket,Amazon AWS: IAD55 Haymarket,"15395 John Marshall Hwy, Haymarket, VA 20169, USA",Amazon AWS,50.0,13.68,,236082.0,15395,John Marshall Hwy,Haymarket,VA,38.8148784,-77.64888000389527
112,https://datacenters.com/qts-suwanee-1,QTS Data Centers: Suwanee Data Center 1,"300 Satellite Boulevard, Suwanee, Georgia 30024, USA",QTS Data Centers,26.0,34.18,205000.0,385000.0,300,Satellite Boulevard,Suwanee,Georgia,34.035266699999994,-84.06130781229422
113,https://datacenters.com/amazon-aws-iad60-ashburn,Amazon AWS: IAD60 Ashburn,"21267 Smith Switch Road, Ashburn, VA, USA",Amazon AWS,,5.6,,109997.0,21267,Smith Switch Road,Ashburn,VA,39.0287737,-77.4582461
114,https://datacenters.com/digital-realty-dallas-dfw10,Digital Realty: Dallas DFW10 Data Center,"2323 Bryan Street, Dallas, TX, USA",Digital Realty,24.0,15.5,447107.0,454000.0,2323,Bryan Street,Dallas,TX,32.78697608163265,-96.79400534693877
115,https://datacenters.com/equinix-sv4-sunnyvale,Equinix: SV4 Sunnyvale Data Center,"255 Caspian Drive, Sunnyvale, CA, USA",Equinix,8.0,5.6,67622.0,120000.0,255,Caspian Drive,Sunnyvale,CA,37.41460445,-122.01455581751013
116,https://datacenters.com/cologix-nnj3-new-jersey,Cologix: NNJ3 New Jersey Data Center,"200 Webro Road, Parsippany, NJ, USA",Cologix,,16.78,120000.0,120000.0,200,Webro Road,Parsippany,NJ,40.85700465,-74.4188289900982
117,https://datacenters.com/centersquare-lax3-los-angeles-irvine-campus,Centersquare: LAX3 (Los Angeles) Irvine Data Center Campus,"17836 Gillette Avenue, Irvine, CA, USA",Centersquare,12.0,1.25,51103.0,132000.0,17836,Gillette Avenue,Irvine,CA,33.68709305,-117.84797687554038
119,https://datacenters.com/aligned-energy-ord-02-chicago,Aligned Data Centers: ORD-02 Chicago,"501 Northwest Avenue, Northlake, IL, USA",Aligned Data Centers,36.0,4.35,,228768.0,501,Northwest Avenue,Northlake,IL,41.9188164182653,-87.91923094111608
120,https://datacenters.com/stack-infrastructure-dfw01-dallas,Stack Infrastructure: DFW01 Dallas Data Center,"6653 Pinecrest Drive, Plano, TX, USA",Stack Infrastructure,82.0,17.4,247000.0,294000.0,6653,Pinecrest Drive,Plano,TX,33.062825797055936,-96.80951843575787
121,https://datacenters.com/qts-ashburn-shellhorn-ash3-1,QTS Data Centers: Ashburn-Shellhorn ASH3 Data Center 1,"22291 Shellhorn Road, Ashburn, Virginia 20147, USA",QTS Data Centers,42.0,3.73,195000.0,304934.0,22291,Shellhorn Road,Ashburn,Virginia,39.02040604668148,-77.49836920060885
124,https://datacenters.com/equinix-se4-kent,Equinix: SE4 Kent Data Center,"6906 S 204th St, Kent, WA, USA",Equinix,12.0,3.11,75000.0,108336.0,6906,S 204th St,Kent,WA,47.421525149999994,-122.24739250085904
127,https://datacenters.com/iron-mountain-azp-3-phoenix,Iron Mountain Data Centers: AZP - 3 - Phoenix Data Center,"4802 East Van Buren Street, Phoenix, AZ, USA",Iron Mountain Data Centers,36.0,1.25,,230000.0,4802,East Van Buren Street,Phoenix,AZ,33.451711,-111.97729071042008
128,https://datacenters.com/centersquare-tpa1-tampa-campus,Centersquare: TPA1 Tampa Data Center Campus,"9310 Florida Palm Drive, Tampa, FL, USA",Centersquare,9.6,11.19,96000.0,96000.0,9310,Florida Palm Drive,Tampa,FL,27.94553095,-82.35110076559798
129,https://datacenters.com/equinix-at4-atlanta,Equinix: AT4 Atlanta Data Center,"450 Interstate North Parkway, Atlanta, GA, USA",Equinix,12.0,17.4,66774.0,87971.0,450,Interstate North Parkway,Atlanta,GA,33.89547465,-84.45351661008468
130,https://datacenters.com/flexential-dallas-richardson,Flexential: Dallas - Richardson Data Center,"3010 Waterview Pkwy, Richardson, TX 75080, USA",Flexential,3.75,17.4,50851.0,100807.0,3010,Waterview Pkwy,Richardson,TX,32.9948016,-96.75251420979546
134,https://datacenters.com/us-signal-grand-rapids-east,US Signal: Grand Rapids East Data Center,"4765 Barden Drive Southeast, Kentwood, MI, USA",US Signal,,1.87,40000.0,,4765,Barden Drive Southeast,Kentwood,MI,42.87535466627512,-85.562772435341
135,https://datacenters.com/365-tx1-richardson,365 Data Centers: TX1 Richardson Data Center,"1001 East Campbell Road, Richardson, TX, USA",365 Data Centers,6.2,19.89,36729.0,75119.0,1001,East Campbell Road,Richardson,TX,32.97515717346939,-96.70764578571428
136,https://datacenters.com/equinix-dc10-ashburn,Equinix: DC10 Ashburn Data Center,"21551 Beaumeade Circle, Ashburn, VA, USA",Equinix,,4.98,84829.0,152392.0,21551,Beaumeade Circle,Ashburn,VA,39.02101975,-77.45151658024605
137,https://datacenters.com/qts-hillsboro-1,QTS Data Centers: Hillsboro 1 Data Center,"4951 Northeast Huffman Street, Hillsboro, OR, USA",QTS Data Centers,24.0,16.16,85000.0,158000.0,4951,Northeast Huffman Street,Hillsboro,OR,45.55686749747459,-122.93266432306565
138,https://datacenters.com/amazon-aws-ale061,Amazon AWS: ALE061,"Chive Dr, San Antonio, TX 78223, USA",Amazon AWS,,16.16,,,,Chive Dr,San Antonio,TX,29.301469480360677,-98.3912200783111
139,https://datacenters.com/flexential-minneapolis-chaska,Flexential: Minneapolis - Chaska Data Center,"3500 Lyman Blvd, Chaska, MN 55318, USA",Flexential,9.0,18.65,70000.0,160838.0,3500,Lyman Blvd,Chaska,MN,44.85159645,-93.59884547259331
140,https://datacenters.com/qts-overland-park-kansas-city,QTS Data Centers: Overland Park - Kansas City Data Center,"12851 Foster Street, Overland Park, Kansas 66213, USA",QTS Data Centers,0.18,27.35,2500.0,33000.0,12851,Foster Street,Overland Park,Kansas,38.89667671449,-94.67346118154192
141,https://datacenters.com/tierpoint-new-york-hwt-hawthorne,TierPoint: New York - HWT Hawthorne Data Center,"11 Skyline Drive, Hawthorne, NY, USA",TierPoint,,21.75,28000.0,46000.0,11,Skyline Drive,Hawthorne,NY,41.0883218,-73.81546461666011
142,https://datacenters.com/centersquare-boston-bo1-watertown,Centersquare: Boston (BO1-Watertown) Data Center,"486 Arsenal Way, Watertown, MA, USA",Centersquare,15.0,6.84,62257.0,201590.0,486,Arsenal Way,Watertown,MA,42.3664226,-71.15924884142905
144,https://datacenters.com/rackspace-nyc1-new-york-metro,Rackspace: NYC1 New York Metro Data Center,"125 Belmont Drive, Somerset, NJ, USA",Rackspace,1.2,21.13,11000.0,56000.0,125,Belmont Drive,Somerset,NJ,40.53972182102959,-74.53855536216703
145,https://datacenters.com/coresite-ny2-new-jersey-secaucus,CoreSite: NY2 New Jersey Secaucus Data Center,"2 Emerson Lane, Secaucus, NJ, USA",CoreSite,,8.08,,236000.0,2,Emerson Lane,Secaucus,NJ,40.785939,-74.0677
147,https://datacenters.com/stack-infrastructure-svy01-silicon-valley,Stack Infrastructure: SVY01 - Silicon Valley Data Center,"2001 Fortune Dr, San Jose, CA, USA",Stack Infrastructure,9.0,3.11,,140000.0,2001,Fortune Dr,San Jose,CA,37.4023956,-121.8929143
150,https://datacenters.com/lightedge-austin-ii,LightEdge: Austin II Data Center,"7000 Burleson Rd, Austin, TX 78744, USA",LightEdge,2.5,1.87,,58471.0,7000,Burleson Rd,Austin,TX,30.200528,-97.7066468
