,Unnamed: 0.1,Unnamed: 0,url,statistics,address,transformed_address,cep
102,102.0,,https://www.datacentermap.com/brazil/fortaleza/provenet-idc/specs/,[],"ProveNET Internet Services LTDARua Isaías Domingos da Silveira, 21560177-180FortalezaBrazil","Prove NET Internet Services LTDARua Isaías Domingos da Silveira, 215 60177-180 Fortaleza Brazil",60177-180
103,103.0,,https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/specs/,[],"Ultranet TelecomAv. Santos Dumont, 212260150-161FortalezaAldelota,Brazil","Ultranet Telecom Av. Santos Dumont, 2122 60150-161 Fortaleza Aldelota,Brazil",60150-161
104,104.0,,https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/specs/,[],"Elea Data CentersTv. Teixeira de Freitas 7380410CuritibaParaná,Brazil","Elea Data Centers Tv. Teixeira de Freitas 7380410 Curitiba Paraná,Brazil",
105,105.0,,https://www.datacentermap.com/brazil/curitiba/cirion-cur1/specs/,"['2,995 sq.m.']","CirionR. do Semeador, 35081270CuritibaParaná,Brazil","Cirion R. do Semeador, 35081270 Curitiba Paraná,Brazil",35081270
106,106.0,,https://www.datacentermap.com/brazil/curitiba/gvt-curitiba/specs/,"['200 sq.m.', 'Est.  2011']","VivoRua Francisco Nunes, 139580215-000CuritibaParaná,Brazil","Vivo Rua Francisco Nunes, 1395 80215-000 Curitiba Paraná,Brazil",80215-000
107,107.0,,https://www.datacentermap.com/brazil/curitiba/cwbhn-01/specs/,"['2,000 sq.m.', 'Est.  2022']","Hosting NowRua Brasílio Itiberê 221780230050CuritibaParaná,Brazil","Hosting Now Rua Brasílio Itiberê 2217 80230050 Curitiba Paraná,Brazil",80230050
108,108.0,,https://www.datacentermap.com/brazil/maringa/getcard-data-center/specs/,[],"GetCard Provedora de Transações EletrônicasAv. Advogado Horacio Racanello Filho, 557087020-035MaringaParana,Brazil","Get Card Provedora de Transações Eletrônicas Av. Advogado Horacio Racanello Filho, 5570 87020-035 Maringa Parana,Brazil",87020-035
109,109.0,,https://www.datacentermap.com/brazil/maringa/rgk4it-data-center/specs/,[],"RGK4ITAv. José Alves Nendo, 467 - Jardim São Silvestre87055-000MaringáBrazil","RGK4 ITAv. José Alves Nendo, 467 - Jardim São Silvestre87055-000 MaringáBrazil",87055-000
110,110.0,,https://www.datacentermap.com/brazil/maringa/r4-data-center/specs/,['Est.  1995'],"R4 Data CenterAvenida Duque de Caxias, 882 - Novo CentroSala 80287020-025MaringáParaná,Brazil","R4 Data Center Avenida Duque de Caxias, 882 - Novo Centro Sala 802 87020-025 MaringáParaná,Brazil",87020-025
111,111.0,,https://www.datacentermap.com/brazil/joao-pessoa/hostdime-brazil/specs/,[],"HostDime Global CorpAv São Paulo, 122358020500João PessoaParaiba,Brazil","Host Dime Global Corp Av São Paulo, 1223 58020500 João Pessoa Paraiba,Brazil",58020500
112,112.0,,https://www.datacentermap.com/brazil/campinas/ascenty-htl05/specs/,"['30 MW', '22,984 sq.m.', 'Est.  2022']","Ascenty Data CentersRua Papa João Paulo II, 4Building 513185-252HortolândiaBrazil","Ascenty Data Centers Rua Papa João Paulo II, 4 Building 5 13185-252 Hortolândia Brazil",13185-252
113,113.0,,https://www.datacentermap.com/brazil/campinas/ascenty-htl04/specs/,"['3 MW', '1,997 sq.m.', 'Est.  2021']","Ascenty Data CentersRua Papa João Paulo II, 4Building 413185-252HortolândiaBrazil","Ascenty Data Centers Rua Papa João Paulo II, 4 Building 4 13185-252 Hortolândia Brazil",13185-252
