,url,address,cep,MW,sq.m,Est,sq.f,latitude,longitude
30,https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp1/specs/,"TAKODAR. Bento Branco de Andrade Filho, 621 - Jardim Dom Bosco04757-000 São Paulo Brazil",04757-000,7,,,,-23.650565293455,-46.721034658477
31,https://www.datacentermap.com/brazil/sao-paulo/vivo-tambore-1-data-center/specs/,"Vivo Av. Marcos Penteado de Ulhôa Rodrigues, 1690 06543-001 Santana de Parnaíba Brazil",06543-001,7.2,"2,300",,,-23.4645325,-46.8572668
32,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp2/specs/,"Equinix Alameda Araguaia, 3641 Tamboré06455-000 Barueri São Paulo,Brazil",06455-000,,"3,660",,,-23.503103895813,-46.827212919866
33,https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-02/specs/,"Aligned Data Centers R. José Blumer, 150 13186-510 Chácaras Assay, Hortolândia Brazil",13186-510,,"5,600",,,-22.900573720369,-47.197857605579
34,https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo3/specs/,"Elea Data Centers Al. Rio Negro, 53006454 Barueri Brazil",53006454,5,,,,-23.496767496985,-46.848747224852
35,https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo2/specs/,"Elea Data Centers Av. Marginal Direita Anchieta, 1 24109891 São Bernardo do Campo Brazil",24109891,5,,,,-23.687748725056,-46.565911155785
36,https://www.datacentermap.com/brazil/sao-paulo/ipxon-sao-paulo/specs/,"IPXON Networks Avenida Roberto Pinto Sobrinho, 350 06276-125 Osasco Brazil",06276-125,12,,,,-23.492249205472,-46.778292361078
37,https://www.datacentermap.com/brazil/sao-paulo/pix-g8-sao-paulo/specs/,"Megatelecom Rua Florida, 1738 04565-001 Sao Paulo Brazil",04565-001,,,,,-23.607166187655,-46.694583216074
38,https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-01/specs/,"Aligned Data Centers39,2, Estr. dos Romeiros, 943 06513-001 Votuparim, Santana de Parnaíba Brazil",06513-001,,"5,600",,,-23.465844429313,-46.905618107833
39,https://www.datacentermap.com/brazil/sao-paulo/scala-data-centers-svcpjd02/specs/,Scala Data Centers Rod. Vice Pref. Hermenegildo Tonoli13212-365 JundiaíBrazil,13212-365,24,,2023,,-23.1782938,-46.9839701
40,https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp2/specs/,"TAKODAAv. Maria Coelho Aguiar, 215 - Jardim Sao Luis05805-000 São Paulo Brazil",05805-000,1,,,,-23.650151814171,-46.729392170314
41,https://www.datacentermap.com/brazil/sao-paulo/ada-sao-paulo/specs/,"Ada Infrastructure Av. Brig. Faria Lima, 3930 04538-132 Sao Paulo Brazil",04538-132,40,,,,-23.590171920876,-46.682090240848
42,https://www.datacentermap.com/brazil/sao-paulo/qnax-data-center/specs/,"QNAX Data Center Av. Nossa Senhora do Ó, 865 - Limão6 th Floor, Suite 401 02715-000 São Paulo São Paulo,Brazil",02715-000,,,,,-23.504324091368,-46.683198076991
43,https://www.datacentermap.com/brazil/sao-paulo/connect-web/specs/,"Connect Web Av. das Nações Unidas, 12995 - 10º andar04578-000 São Paulo Brazil",04578-000,,,,,-23.605480712655,-46.696386331085
44,https://www.datacentermap.com/brazil/sao-paulo/ultranet-telecom/specs/,"Ultranet Telecom Rua Simao Dias da Fonseca, 61 01539-020 Cambuci Brazil",01539-020,,,2015,,-23.572384684147,-46.622072628989
45,https://www.datacentermap.com/brazil/sao-paulo/microsoft-hortolandia/specs/,"Microsoft Rua Uirapuru, 340, Chácara Recreio Alvorada13183-752 Hortolândia Brazil",13183-752,,,,,-22.844657594224,-47.238003704961
46,https://www.datacentermap.com/brazil/sao-paulo/telium-data-center--spo/specs/,"Telium Networks Av. das Nações Unidas, 13797 04794000 São Paulo SP,Brazil",04794000,,,,,-23.619608620005,-46.69952401272
47,https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-1/specs/,"Ascenty Data Centers Avenida Coronel Phidias Tavora, 513 Building 1 21535-510 Rio de Janeiro-,Brazil",21535-510,10,"6,996",2017,,-22.807050120461,-43.339618092095
48,https://www.datacentermap.com/brazil/rio-de-janeiro/elea-digital-rjo1/specs/,"Elea Data Centers R. Vargem Grande 10022775 Rio de Janeiro Rio de Janeiro,Brazil",10022775,,,,,-22.9055839688,-43.175089837982
49,https://www.datacentermap.com/brazil/rio-de-janeiro/scala-sgigsm01/specs/,"Scala Data Centers Rod. Pres. Dutra 4 30025565 Sao Joao de Meriti Rio de Janeiro,Brazil",30025565,13.2,,,,-22.80389,-43.37222
50,https://www.datacentermap.com/brazil/rio-de-janeiro/ipxon-rio-de-janeiro/specs/,IPXON Networks Avenida Coronel Phidias Távora 513 21535-510 Rio de Janeiro Brazil,21535-510,10,,,,-22.805786716196,-43.347914751315
51,https://www.datacentermap.com/brazil/rio-de-janeiro/r4c-networks/specs/,"R4 CAv. Das Americas 500 22640100 Barra da Tijuca RJ,Brazil",22640100,,,,,-23.003933691887,-43.318980924468
52,https://www.datacentermap.com/brazil/porto-alegre/quantico-canoas/specs/,"Quântico Data Center R. Eng. Homero Carlos Simon, 1100 - Guajuviras92442000 Canoas Rio Grande do Sul (RS),Brazil",92442000,50,,2021,"73,000",-32.035,-52.09861
53,https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc2/specs/,"Maila Networks R. Gomes de Freitas340 91380000 Porto Alegre Rio Grande do Sul (RS),Brazil",91380000,,,,,-30.013085897087,-51.143147484932
54,https://www.datacentermap.com/brazil/porto-alegre/kinghost/specs/,"King Host Av. Cristóvão Colombo, 2360 Sala 605 90560-002 Porto Alegre RS,Brazil",90560-002,,,,,-30.017877578522,-51.197690239465
55,https://www.datacentermap.com/brazil/brasilia/engetronics-brasilia/specs/,"ENGETRONICS INTERNET DATACENTERSetor Hoteleiro Norte Qd 2 BL H , lojas nº 110 a 114 70702905 Brasilia DF,Brazil",70702905,,,,,-15.7895995,-47.8876569
56,https://www.datacentermap.com/brazil/fortaleza/angonap-fortaleza/specs/,"Angola Cables Av. Trajano de Medeiros, 1851 - Vicente Pinzon60182-186 Fortaleza Brazil",60182-186,,,,,-3.726049965222,-38.466871774042
57,https://www.datacentermap.com/brazil/fortaleza/scala-sforpf01/specs/,"Scala Data Centers Av. Dr. Aldy Mentor, 371 60191-095 Fortaleza Brazil",60191-095,7.2,,,,-3.757025093501,-38.447707395217
58,https://www.datacentermap.com/brazil/fortaleza/lumen-fortaleza/specs/,"Lumen Av. Dioguinho, 2950 60182-001 Fortaleza Brazil",60182-001,,,,,-3.742200962102,-38.453096945635
59,https://www.datacentermap.com/brazil/curitiba/nextstream-curitiba/specs/,"Next Stream Rua Senador Accioly Filho, 2200 81350-200 Curitiba Brazil",81350-200,0.7,582,,,-25.495342680018,-49.328516241782
60,https://www.datacentermap.com/brazil/campina-grande/hostzone-cge1/specs/,"Hostzonewithin R. Paulo de Frontin, Campina Grande58400-310 Campina Grande Paraiba,Brazil The exact location of this data center is not public,but it is located within R. Paulo de Frontin, Campina Grande",58400-310,,,,,-7.2309326,-35.8818436
